Zone Type,FAR
LR3,2
NC3-40,3.25
NC3P-40,3.25
HR,14
LR2,1.2
NC2P-40,3.2
MR,3.2
NC2P-30,2.5
LR3 RC,1.3
NC2-40,3.25
NC3-65,4.75
LR2 RC,1.2
NC3P-85 5.75,5.75
NC3P-65,4.75
NC1-40,3.25
LR1,1
NC1-65,4.75
NC1-30,2.5
MR-RC,3.2
NC3P-85,6
C1-65,4.25
C2-65,4.25
IC-65,2.5
C1-40,3
NC2-65,4.75
NC2P-65,4.75
IC-45,2.5
NC1P-30,2.5
NC3-85,6
MR-85,4.5
NC3-125,6
SM-NR-85,6
SM-NR 55/75 2.0,2
NC2P-65 4.0,4
C1-30,2.25
NC3-65 2.0,2
C1-40 0.75,0.75
NC2P-65 3.0,3
NC3P-85 2.0,2
NC3P-65 2.0,2
LR3 0.75,0.75
NC3P-65 4.0,4
NC3-30,2.5
C2-30,2.25
NC2-30,2.5
SM/R-65,4.25
LR3 1.2,1.2
NC1P-40,3.25
C2-40,3
NC3P-65 3.0,3
NC3P-85 4.75,4.75
NC3-85 4.75,4.75
NC3P-160,7
RSL/TC,1
NC2P-65 0.75,0.75
LR3 PUD,1.3
SF 50000,0.75
