 it is,Year,Description,Category,Product Code,Product Code Type,Label/Brand,Vendor,Rating Version,Local,Local Description,Fair,Fair Description,Ecological,Ecological Description,Humane,Humane Description,Disqualifier,Disqualifier Description,Cost,Notes,Facility
1,2013,TURKEY BRST SLCD HICK SMKD GF,poultry,41645,unknown,MADRO,Foster Farms,1,no,,no,,no,,no,,no,,3962.66,,UW Housing and Food Services
1,2013,TURKEY BRST SLCD O/RSTD/ GF,poultry,41644,unknown,MADRO,Foster Farms,1,no,,no,,no,,no,,no,,3618.11,,UW Housing and Food Services
1,2013,TURKEY BRST SMKD CATER GF,poultry,41619,unknown,MADRO,Foster Farms,1,no,,no,,no,,no,,no,,1899.12,,UW Housing and Food Services
1,2013,CORN DOG CHIX 4/1 CN W/STICK,grocery,62165,unknown,SIG3,Foster Farms,1,no,,no,,no,,no,,yes,Contains Genetically Modified Organisms (GMOs),1856.83,HAS SOY,UW Housing and Food Services
1,2013,TURKEY BRST BNLS RAW NETTED GF,poultry,96515,unknown,FOSTE,Foster Farms,1,no,,no,,no,,no,,no,,820.71,,UW Housing and Food Services
1,2013,TURKEY BRST RAW GOLD FOIL PREM GF,poultry,41617,unknown,MADRO,Foster Farms,1,no,,no,,no,,no,,no,,439.07,,UW Housing and Food Services
1,2013,CORN DOG MINI CHIX .67Z CN,grocery,64142,unknown,SIG3,Foster Farms,1,no,,no,,no,,no,,yes,Contains Genetically Modified Organisms (GMOs),241.45,SOY,UW Housing and Food Services
1,2013,TURKEY GRD GF RTC,poultry,95559,unknown,FOSTE,Foster Farms,1,no,,no,,no,,no,,no,,225.96,,UW Housing and Food Services
1,2013,TURKEY BRST SMKD SK/ON GF,poultry,6015,unknown,FOSTE,Foster Farms,1,no,,no,,no,,no,,no,,56.29,"LOCAL 250 MILES, HUMANE CERTIFIED",UW Housing and Food Services
1,2013,Organic Whole Milk Half Gallon,dairy,10137,unknown,Freshbreeze,Medosweet,1,yes,"Small, Independently Owned within 150 mi",no,Single-source product confirmed in writing,yes,Salmon Safe ,yes,USDA Certified Organic ,no,,786.13,"103 miles away.  Organic processor, all feed certified organic.  Cornucopia Institute 5 cow rating.",UW Housing and Food Services
1,2013,CANDY PEPPERMINT DARK CHOC CUPS,grocery,36348,unknown,Newman's Own Organic,UNITED NATURAL FOODS-SUR,1,no,,no,,yes,Rainforest Alliance Certified ,no,USDA Certified Organic ,no,,35.88,Milk is Oregon Tilth certified,UW Housing and Food Services
1,2013,'Rumiano Shredded Mild Cheddar',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,323.4,,UW Housing and Food Services
1,2013,Rumiano Medium Cheddar',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,78.2,,UW Housing and Food Services
1,2013,'Rumiano Danish Mozzarella Whole Milk',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,13374.28,,UW Housing and Food Services
1,2013,'Rumiano Danish Mozzarella Whole Milk',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,5131.55,,UW Housing and Food Services
1,2013,'Rumiano Danish Mozzarella Whole Milk',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,3079.81,,UW Housing and Food Services
1,2013,'Rumiano Fontina Loaves (California No Rbst)',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,899.89,,UW Housing and Food Services
1,2013,'Rumiano Fontina Loaves (California No Rbst)',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,848.95,,UW Housing and Food Services
1,2013,'Rumiano Shredded Mild Cheddar',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,374.4,,UW Housing and Food Services
1,2013,'Rumiano Shredded Monterey Jack',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,191.2,,UW Housing and Food Services
1,2013,Rumiano Natural Smoked Mozzarella (CA- No RBST),dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,117.25,,UW Housing and Food Services
1,2013,'Rumiano Natural Smoked Mozzarella (CA- No RBST)',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,116.82,,UW Housing and Food Services
1,2013,'Rumiano Shredded Monterey Jack',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,96.8,,UW Housing and Food Services
1,2013,'Rumiano Shredded Ched/Jack Blend',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,49.2,,UW Housing and Food Services
1,2013,'Rumiano Extra Sharp White Cheddar',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,24.4,,UW Housing and Food Services
1,2013,'Rumiano Medium Cheddar',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,15.21,,UW Housing and Food Services
1,2013,'Rumiano Shredded Ched/Jack Blend',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,Humanely Raised,no,,12.15,,UW Housing and Food Services
1,2013,Rogue Oregon Blue Cheese (OR)',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,"Food Alliance Certified
",no,,483.01,,UW Housing and Food Services
1,2013,Wilcox Hard Boiled Eggs,eggs,3510007,unknown,,Harbor Wholesale,1,yes,"Small, Independently Owned within 150 mi",no,,no,,yes,"Food Alliance Certified
",no,,108.72,,UW Housing and Food Services
1,2013,'Rogue Smokey Blue (OR)',dairy,,unknown,,Merlino,1,no,,no,,yes,,yes,"Food Alliance Certified
",no,,75.19,,UW Housing and Food Services
1,2013,Wilcox Hard Boiled Eggs C/F,eggs,3510008,unknown,,Harbor Wholesale,1,yes,"Small, Independently Owned within 150 mi",no,,no,,yes,"Food Alliance Certified
",no,,18.91,,UW Housing and Food Services
1,2013,EGGS PSTRZD CAGE FREE W/CITRIC,eggs,828,unknown,WILCO,WILCOX FAMILY FARMS,1,yes,Cooperatively Owned within 150 mi,no,Single-source product confirmed in writing,no,,yes,Certified Humane by Humane Farm Animal Care,no,,27279.28,,UW Housing and Food Services
1,2013,EGGS HRD CKD PLD CAGE FREE,eggs,960,unknown,WILCO,WILCOX FAMILY FARMS,1,yes,Cooperatively Owned within 150 mi,no,Single-source product confirmed in writing,no,,yes,Certified Humane by Humane Farm Animal Care,no,,7010.36,,UW Housing and Food Services
1,2013,EGGS HARD CKD CAGE FREE,eggs,966,unknown,WILCO,WILCOX FAMILY FARMS,1,yes,Cooperatively Owned within 150 mi,no,Single-source product confirmed in writing,no,,yes,Certified Humane by Humane Farm Animal Care,no,,4593.73,,UW Housing and Food Services
1,2013,EGGS FRESH AA LRG CAGE FREE,eggs,670,unknown,WILCO,WILCOX FAMILY FARMS,1,yes,Cooperatively Owned within 150 mi,no,Single-source product confirmed in writing,no,,yes,Certified Humane by Humane Farm Animal Care,no,,2591.52,,UW Housing and Food Services
1,2013,10135: F-BRZ ORG 1% HG (9/CS),dairy,,unknown,Medosweet,Medosweet,1,yes,"Small, Independently Owned within 150 mi",no,,yes,USDA Certified Organic,yes,,no,,1136.4,Fresh Breeze Organic Dairy,UW Housing and Food Services
1,2013,10134: F-BRZ ORG SKIM HG (9/CS),dairy,,unknown,Medosweet,Medosweet,1,yes,"Small, Independently Owned within 150 mi",no,,yes,USDA Certified Organic,yes,,no,,840.61,Fresh Breeze Organic Dairy,UW Housing and Food Services
